T,M
1745325165.713587,10.249000
1745325195.935415,10.248000
1745325226.135430,10.248000
1745325256.326388,9.908000
1745325286.470362,9.410000
1745325316.605287,9.095000
1745325346.784248,8.515000
1745325376.925198,8.066000
1745325407.134117,7.623000
1745325437.334104,7.425000
1745325467.476062,6.733000
1745325497.674024,6.472000
1745325527.879967,5.509000
1745325558.038922,4.967000
1745325588.186857,4.488000
1745325618.393842,4.188000
1745325648.526741,0.017000
1745325678.699764,0.017000
1745325708.858950,0.017000
1745325739.010630,0.017000
1745325769.184565,0.017000
1745325799.387556,4.146000
1745325829.562460,4.145000
1745325859.759185,4.149000
1745325889.973880,4.149000
1745325920.156610,5.445000
1745325950.355351,6.732000
1745325980.564066,7.977000
1745326010.695860,9.170000
1745326040.874637,10.153000
1745326071.072420,10.116000
1745326101.215204,10.115000
1745326131.426027,9.917000
1745326161.546808,9.899000
1745326191.698615,9.871000
1745326221.910434,9.854000
1745326252.070181,9.843000
1745326282.186090,9.830000
1745326312.311923,9.837000
1745326342.475765,9.824000
1745326372.627569,9.799000
1745326402.767474,9.774000
1745326432.919314,9.749000
1745326463.071173,9.725000
1745326493.226035,9.701000
1745326523.380901,9.677000
1745326553.528775,9.654000
1745326583.681726,9.629000
1745326613.847523,9.606000
1745326644.006397,9.582000
1745326674.220282,9.559000
1745326704.408159,9.535000
1745326734.921047,9.512000
1745326765.085958,9.487000
1745326795.242823,9.464000
1745326825.407717,9.440000
1745326855.611568,9.416000
1745326885.795514,9.394000
1745326916.328406,9.370000
1745326946.475306,9.346000
1745326976.997171,9.323000
1745327007.146061,9.299000
1745327037.681008,9.275000
1745327067.839910,9.252000
1745327098.318818,9.227000
1745327128.467726,9.205000
1745327158.981635,9.194000
1745327189.181529,9.187000
1745327219.756452,9.182000
1745327249.991365,9.176000
1745327280.489251,9.170000
1745327310.680148,9.165000
1745327341.226086,9.159000
1745327371.362033,9.154000
1745327401.892933,9.148000
1745327432.124801,9.143000
1745327462.279764,9.138000
1745327492.453645,9.133000
1745327522.997552,9.128000
1745327553.208513,9.122000
1745327583.427384,9.118000
1745327613.562354,9.112000
1745327644.118266,9.107000
1745327674.256191,9.103000
1745327704.389027,9.097000
1745327734.593025,9.092000
1745327764.763904,9.087000
1745327794.925867,9.082000
1745327825.043758,9.077000
1745327855.187632,9.071000
1745327885.322538,9.066000
1745327915.488994,9.061000
1745327945.649579,9.056000
1745327975.843172,9.050000
1745328005.963850,9.045000
1745328036.079471,9.041000
1745328066.235141,9.035000
1745328096.383730,9.030000
1745328126.526482,9.026000
1745328156.658134,9.021000
1745328186.782830,9.015000
1745328216.962584,9.011000
1745328247.084307,9.006000
1745328277.277038,9.002000
1745328307.496711,8.997000
1745328337.676546,8.991000
1745328367.852272,8.988000
1745328398.021993,8.983000
1745328428.151809,8.978000
1745328458.380595,8.973000
1745328488.561337,8.969000
1745328518.679118,8.964000
1745328548.814951,8.959000
1745328579.019701,8.933000
1745328609.228553,8.907000
1745328639.365367,8.883000
1745328669.539177,8.857000
1745328699.659991,8.834000
1745328729.826811,8.811000
1745328759.975600,8.786000
1745328790.142467,8.763000
1745328820.285270,8.738000
1745328850.438132,8.712000
1745328880.585967,8.688000
1745328910.775809,8.677000
