loop,time,pressure
0,0.10199999809265137,291
1,2.4746530055999756,289
2,3.478412628173828,291
5,6.483592987060547,289
6,7.4882142543792725,290
7,8.490637063980103,289
8,9.49428939819336,288
9,10.499019622802734,289
10,11.501405000686646,290
12,13.505818843841553,290
13,14.508202314376831,290
14,15.511380910873413,288
15,16.51487636566162,298
16,17.5178701877594,292
19,20.523365259170532,290
20,21.525986194610596,91
21,22.527928590774536,71
22,23.530938386917114,0
24,25.535785913467407,288
25,26.540233373641968,286
26,27.54405975341797,287
27,28.546369314193726,82
28,29.55542778968811,275
29,30.558051109313965,286
30,31.560636043548584,258
31,32.56343150138855,288
32,33.56600761413574,289
33,34.568625688552856,286
35,36.5734326839447,283
36,37.576165437698364,283
37,38.57918405532837,282
38,39.581504583358765,281
41,42.587433099746704,283
42,43.59053826332092,81
43,44.593523025512695,81
44,45.59674382209778,1
45,46.59861731529236,1
47,48.602315187454224,279
48,49.605425119400024,282
49,50.608569860458374,278
50,51.61157274246216,85
51,52.6146936416626,80
52,53.617008447647095,281
53,54.62004208564758,280
54,55.62327194213867,279
55,56.62587118148804,279
56,57.62862706184387,278
57,58.631107330322266,81
58,59.63399648666382,280
59,60.63670110702515,277
60,61.64021682739258,280
61,62.64160656929016,280
62,63.64603877067566,277
63,64.64921116828918,278
64,65.6518907546997,277
65,66.65507888793945,79
66,67.65766882896423,277
67,68.66050171852112,277
68,69.66394901275635,278
69,70.666907787323,278
70,71.66982054710388,276
71,72.67218780517578,278
72,73.6747932434082,77
73,74.67709922790527,275
74,75.67982053756714,278
75,76.68272924423218,275
76,77.68504071235657,280
77,78.6875913143158,274
78,79.6912591457367,280
79,80.69535326957703,274
80,81.69770932197571,276
81,82.69963645935059,274
82,83.70194339752197,275
83,84.70398235321045,273
84,85.70684218406677,275
85,86.70932507514954,273
86,87.71173524856567,275
87,88.71491813659668,277
88,89.71800255775452,272
89,90.72071099281311,282
90,91.723886013031,272
91,92.72617101669312,273
92,93.72826743125916,276
93,94.7300660610199,272
94,95.73308324813843,271
95,96.73630023002625,273
96,97.7388243675232,271
97,98.74117088317871,273
98,99.74416422843933,271
99,100.74722242355347,272
100,101.74962711334229,271
101,102.75256967544556,271
102,103.75477051734924,272
103,104.7567765712738,269
104,105.75933194160461,272
105,106.76221632957458,274
106,107.76585412025452,269
107,108.76886510848999,269
108,109.77183747291565,266
109,110.77491569519043,269
110,111.77730989456177,268
111,112.78009104728699,267
112,113.78288292884827,269
113,114.78561806678772,269
114,115.78883695602417,267
115,116.79250311851501,274
116,117.79587006568909,266
117,118.79896283149719,267
118,119.80150651931763,266
119,120.80451226234436,269
120,121.80882859230042,266
121,122.81230092048645,267
122,123.81607103347778,266
123,124.81953167915344,264
124,125.82129216194153,260
125,126.82382249832153,268
126,127.82667231559753,265
127,128.82901000976562,264
128,129.8320116996765,264
129,130.83471655845642,265
130,131.83824753761292,273
131,132.84113717079163,263
132,133.84373998641968,264
133,134.84576416015625,263
134,135.84873747825623,263
135,136.85091638565063,260
136,137.85306644439697,264
137,138.85478329658508,260
138,139.8573772907257,262
139,140.86057448387146,265
140,141.86417174339294,265
141,142.8659245967865,263
142,143.8678960800171,263
143,144.87194108963013,264
144,145.87482595443726,262
145,146.87778663635254,262
146,147.8807737827301,262
147,148.88409805297852,262
148,149.8871557712555,267
149,150.88910388946533,262
150,151.8917272090912,260
151,152.8939974308014,260
152,153.8962597846985,260
153,154.8984522819519,262
154,155.9006552696228,262
155,156.90364789962769,261
156,157.90885710716248,261
157,158.91244530677795,261
158,159.91544938087463,261
159,160.91844201087952,263
160,161.92123556137085,268
161,162.92399072647095,266
162,163.92701196670532,261
163,164.92971444129944,260
164,165.93237137794495,259
165,166.9353220462799,258
