loop,time,pressure
0,0.10581684112548828,254
1,2.4705758094787598,255
2,3.4734675884246826,253
3,4.478050708770752,255
4,5.4812986850738525,252
5,6.484156608581543,253
6,7.486384630203247,252
7,8.489908933639526,253
8,9.492094278335571,254
9,10.494623184204102,254
10,11.4969322681427,253
12,13.499830961227417,255
13,14.503811359405518,253
14,15.507247686386108,254
15,16.510539054870605,255
16,17.513602018356323,253
19,20.519412994384766,254
20,21.521169185638428,54
21,22.523398637771606,3
22,23.52592134475708,3
23,24.528205633163452,253
24,25.531453847885132,251
27,28.542340993881226,53
28,29.544532299041748,52
29,30.546695947647095,2
30,31.5498468875885,252
31,32.55200958251953,254
32,33.55503177642822,254
33,34.55758810043335,253
34,35.56095218658447,52
35,36.56282186508179,52
36,37.565696239471436,252
37,38.567704916000366,254
38,39.570847272872925,252
39,40.57363557815552,253
40,41.577099323272705,254
41,42.57978558540344,255
42,43.582322120666504,253
43,44.58537721633911,253
44,45.58914852142334,252
45,46.59134078025818,252
46,47.593602895736694,251
47,48.59616160392761,252
48,49.59787154197693,251
49,50.600603342056274,254
50,51.603708028793335,252
51,52.60671424865723,251
52,53.60991621017456,252
53,54.61322784423828,251
54,55.616905212402344,251
55,56.61982560157776,252
56,57.62282156944275,252
57,58.62493681907654,252
58,59.626901626586914,251
59,60.63053560256958,254
60,61.63339161872864,252
61,62.63648819923401,252
63,64.64674472808838,253
64,65.64951395988464,53
65,66.65111827850342,53
66,67.65387034416199,253
67,68.65643310546875,251
68,69.65969252586365,251
69,70.66256594657898,252
70,71.66558933258057,251
71,72.6687343120575,50
72,73.67174577713013,51
73,74.67420053482056,2
74,75.67821049690247,1
75,76.68136477470398,252
77,78.68616938591003,252
78,79.68832874298096,251
79,80.69209933280945,54
80,81.69492554664612,50
81,82.69730401039124,251
82,83.69945573806763,250
83,84.70165824890137,253
84,85.70418691635132,252
85,86.70687937736511,250
86,87.70963406562805,251
87,88.71249413490295,252
88,89.71584367752075,250
89,90.71842050552368,250
90,91.72114300727844,252
91,92.72369170188904,251
92,93.72675561904907,252
93,94.72850918769836,252
94,95.73125195503235,251
95,96.73474311828613,251
96,97.73784875869751,251
97,98.74041724205017,250
98,99.74380230903625,252
99,100.7464702129364,252
100,101.74891233444214,252
101,102.75150203704834,250
102,103.75448942184448,251
103,104.75713634490967,251
104,105.76012372970581,250
105,106.76231288909912,251
106,107.76415944099426,252
107,108.76707553863525,250
108,109.77084422111511,251
109,110.77395224571228,250
110,111.77588653564453,249
111,112.77880883216858,249
112,113.78110575675964,250
113,114.78327775001526,251
114,115.78556871414185,250
115,116.7881212234497,250
116,117.7906756401062,250
117,118.79270792007446,251
118,119.79602122306824,251
119,120.79826211929321,250
120,121.801344871521,250
121,122.80403184890747,250
122,123.80729746818542,248
123,124.81010866165161,251
124,125.81270718574524,252
125,126.81515216827393,251
126,127.81814217567444,250
127,128.82046270370483,250
128,129.8238000869751,249
129,130.8259825706482,249
130,131.82787680625916,250
131,132.830411195755,250
132,133.8324658870697,250
133,134.8348512649536,251
134,135.8383982181549,251
135,136.84156012535095,252
136,137.8445122241974,250
137,138.84745168685913,249
138,139.85031127929688,248
139,140.8527865409851,251
140,141.8557529449463,252
141,142.85878586769104,251
142,143.86132407188416,250
143,144.8649091720581,249
144,145.86733961105347,251
145,146.89773511886597,249
146,147.90078806877136,250
147,148.903502702713,252
148,149.90598940849304,250
149,150.90866804122925,249
150,151.911301612854,251
151,152.9139702320099,250
152,153.91626811027527,250
153,154.91895031929016,250
154,155.92206263542175,249
155,156.9243347644806,250
156,157.9264657497406,250
157,158.92837119102478,250
158,159.93079924583435,251
159,160.93373799324036,250
160,161.9363899230957,249
161,162.9389157295227,250
162,163.9412763118744,251
163,164.94385480880737,248
164,165.9468982219696,251
165,166.94952511787415,251
166,167.95243883132935,250
169,170.95825719833374,50
170,171.9616105556488,0
171,172.9640657901764,9
174,175.97079300880432,248
175,176.97379183769226,248
176,177.97676301002502,51
177,178.97878980636597,49
178,179.98104810714722,1
179,180.98301911354065,251
180,181.9858000278473,250
181,182.988587141037,250
182,183.9911503791809,248
183,184.9946391582489,250
184,185.9973156452179,250
185,187.00009632110596,250
186,188.00246858596802,250
187,189.00487232208252,249
188,190.00760531425476,248
189,191.01097345352173,249
190,192.01356029510498,249
191,193.01640391349792,249
192,194.01978087425232,250
193,195.02297496795654,250
194,196.02584600448608,250
195,197.02867937088013,249
196,198.03214240074158,250
197,199.03591918945312,249
198,200.03859210014343,247
199,201.04119229316711,249
200,202.0502164363861,249
201,203.0528049468994,250
202,204.05681443214417,249
203,205.06071376800537,249
206,208.06770634651184,250
207,209.06967425346375,250
208,210.07401633262634,248
209,211.07694911956787,248
210,212.080979347229,249
213,215.08616399765015,249
214,216.08871293067932,49
215,217.09142017364502,50
216,218.0941984653473,8
217,219.09691739082336,0
218,220.09956979751587,250
219,221.1026327610016,251
220,222.10585045814514,251
221,223.10783791542053,49
222,224.11080718040466,49
223,225.1139566898346,8
224,226.11664295196533,9
225,227.11858654022217,249
226,228.1220099925995,250
227,229.12471413612366,250
228,230.12800812721252,249
229,231.13006258010864,48
230,232.1356132030487,48
231,233.1387813091278,9
232,234.14149975776672,9
234,236.1459515094757,248
235,237.14857244491577,249
236,238.15085458755493,248
237,239.15341424942017,49
238,240.15692520141602,49
239,241.1607265472412,9
