loop,time,pressure,mass
0,0.10042262077331543,673,9.55
1,2.7685141563415527,674,9.549
2,3.885530710220337,673,9.548
3,5.021551132202148,676,9.548
4,6.200543403625488,676,9.547
5,7.403455018997192,673,9.546
6,8.533491134643555,672,9.546
7,9.684496641159058,672,9.546
8,10.825528383255005,673,9.545
9,11.983484983444214,673,9.545
10,13.125345706939697,673,9.544
11,14.264445781707764,673,9.544
12,15.451462507247925,669,9.543
13,16.583479642868042,671,9.543
14,17.740478992462158,674,9.542
15,18.863431692123413,673,9.541
16,20.002432346343994,672,9.54
17,21.15245819091797,672,9.54
18,22.32040047645569,672,9.539
19,23.44834542274475,673,9.538
20,24.66030764579773,672,9.538
21,25.80432629585266,670,9.538
22,26.939325094223022,670,9.537
23,28.104315519332886,672,9.536
24,29.295289278030396,673,9.535
25,30.46931791305542,672,9.535
26,31.619276523590088,672,9.535
27,32.75329303741455,671,9.534
28,33.939279556274414,671,9.533
29,35.07826256752014,672,9.532
30,36.27421808242798,668,9.532
31,37.42023158073425,671,9.531
32,38.54030227661133,672,9.531
33,39.72225904464722,672,9.531
34,40.86525368690491,670,9.529
35,42.00021934509277,670,9.529
36,43.13717246055603,0,9.529
37,44.31824016571045,671,9.528
38,45.4623281955719,670,9.527
39,46.59833812713623,668,9.526
40,47.79931974411011,670,9.526
41,48.97530913352966,669,9.526
42,50.117307901382446,669,9.524
43,51.317272663116455,669,9.524
44,52.45329451560974,671,9.524
45,53.610310316085815,672,9.523
46,54.80031108856201,671,9.522
47,55.95127606391907,668,9.521
48,57.07627296447754,669,9.521
49,58.241225481033325,669,9.52
50,59.386311292648315,670,9.519
51,60.583195209503174,670,9.519
52,61.728214263916016,669,9.519
53,62.85917282104492,668,9.518
54,64.01224040985107,669,9.517
55,65.13522052764893,669,9.516
56,66.2992308139801,669,9.515
57,67.45525407791138,669,9.515
58,68.58304071426392,668,9.515
59,69.72418475151062,669,9.514
60,70.85816669464111,669,9.513
61,71.97504425048828,666,9.513
62,73.10120701789856,669,9.512
63,74.25116109848022,669,9.511
64,75.37721300125122,668,9.511
65,76.55920052528381,667,9.51
66,77.68705439567566,667,9.51
67,78.82710409164429,667,9.51
68,79.98712992668152,668,9.509
69,81.14419078826904,668,9.509
70,82.28292751312256,667,9.508
71,83.45203471183777,671,9.507
72,84.57518005371094,669,9.507
73,85.73600125312805,667,9.506
74,86.85105109214783,666,9.505
75,88.042897939682,667,9.504
76,89.1899356842041,668,9.504
77,90.36096739768982,667,9.504
78,91.50784516334534,667,9.501
79,92.72678136825562,667,9.502
80,93.87299489974976,668,9.502
81,95.0280659198761,666,9.501
82,96.15901613235474,668,9.501
83,97.30783438682556,666,9.5
84,98.44206762313843,667,9.499
85,99.62502646446228,667,9.499
86,100.76792287826538,666,9.498
87,101.9698646068573,666,9.497
88,103.15899181365967,666,9.496
89,104.29696440696716,667,9.496
90,105.48404097557068,660,9.495
91,106.62600374221802,663,9.495
92,107.76886987686157,667,9.494
93,108.94079875946045,664,9.494
94,110.12194466590881,665,9.493
95,111.31174373626709,665,9.493
96,112.53198266029358,666,9.492
97,113.69589567184448,665,9.492
98,114.84091544151306,665,9.491
99,115.97385787963867,665,9.49
100,117.1009247303009,660,9.49
101,118.24990630149841,664,9.488
102,119.3899154663086,664,9.488
103,120.59883952140808,665,9.487
104,121.72877287864685,665,9.487
105,122.90268850326538,664,9.486
106,124.02475023269653,664,9.486
107,125.14487195014954,664,9.485
108,126.30783677101135,665,9.485
109,127.45183658599854,664,9.484
110,128.58280444145203,655,9.484
111,129.74186730384827,659,9.484
112,130.9397804737091,666,9.482
113,132.0778946876526,663,9.482
114,133.2739863395691,665,9.481
115,134.43384528160095,663,9.481
116,135.63386154174805,663,9.481
117,136.82269549369812,663,9.48
118,137.95876669883728,664,9.479
119,139.09856057167053,662,9.478
120,140.2265636920929,661,9.477
121,141.38862085342407,663,9.477
122,142.50579977035522,664,9.477
123,143.64980173110962,664,9.476
124,144.83781027793884,663,9.475
125,146.00077176094055,662,9.475
126,147.14876246452332,664,9.474
127,148.29053807258606,663,9.473
128,149.43066096305847,662,9.472
129,150.56880283355713,662,9.472
130,151.70673274993896,662,9.472
131,152.82662391662598,662,9.471
132,154.0397243499756,662,9.471
133,155.16978430747986,662,9.47
134,156.30969381332397,662,9.47
135,157.50267672538757,662,9.469
136,158.6417474746704,659,9.468
137,159.7966866493225,663,9.468
138,160.92179417610168,662,9.467
139,162.05871534347534,663,9.467
140,163.18769145011902,661,9.466
141,164.3417398929596,661,9.466
142,165.54856729507446,660,9.465
143,166.68677282333374,660,9.464
144,167.84871339797974,661,9.464
145,168.9766960144043,661,9.463
146,170.10769701004028,661,9.462
147,171.28168177604675,661,9.461
148,172.4126694202423,661,9.461
149,173.57569193840027,659,9.46
150,174.70469117164612,661,9.46
