loop,time,pressure,mass
1,75.59346270561218,1,3.299
2,76.82613849639893,12,3.299
3,78.06115531921387,11,3.299
4,79.31603407859802,11,3.299
5,80.57323932647705,11,3.299
6,81.70223784446716,11,3.298
7,82.85029006004333,11,3.298
8,83.98708438873291,11,3.298
9,85.12609839439392,11,3.298
10,86.26311206817627,11,3.298
11,87.4012291431427,11,3.298
12,88.53823518753052,12,3.298
13,89.68924236297607,12,3.298
14,90.81322813034058,11,3.298
15,91.9651288986206,11,3.299
16,93.08722019195557,12,3.299
17,94.22825479507446,12,3.298
18,95.36513233184814,11,3.298
19,96.50222444534302,11,3.298
20,97.63815689086914,11,3.298
21,98.77613139152527,11,3.298
22,99.91419243812561,11,3.298
23,101.05210328102112,12,3.298
24,102.20107841491699,12,3.298
25,103.3250298500061,11,3.299
26,104.47309136390686,12,3.299
27,105.6021339893341,12,3.299
28,106.75289630889893,11,3.299
29,107.87919402122498,12,3.299
30,109.0180869102478,12,3.299
31,110.15600419044495,12,3.299
32,111.30711507797241,11,3.299
33,112.4329674243927,11,3.299
35,115.10139751434326,12,3.299
36,116.33507513999939,11,3.299
37,117.47493433952332,11,3.299
38,118.61401557922363,12,3.299
40,120.74165558815002,12,3.299
41,121.96603655815125,12,3.299
42,123.08998274803162,11,3.299
43,124.22791576385498,12,3.299
44,125.3669753074646,11,3.299
45,126.52296686172485,11,3.299
46,127.64785265922546,12,3.299
47,128.80623745918274,12,3.299
48,131.00151181221008,11,3.299
49,132.25173711776733,12,3.299
50,133.49184012413025,11,3.299
51,134.75607204437256,11,3.299
52,135.89702796936035,11,3.299
53,137.02101182937622,12,3.298
54,138.15901684761047,12,3.298
56,140.2943925857544,1,3.298
57,141.51293992996216,11,3.298
58,142.65201473236084,11,3.298
59,143.78694987297058,11,3.298
60,144.91097784042358,11,3.298
61,146.09892463684082,12,3.298
62,147.2459626197815,12,3.298
63,148.39696741104126,11,3.298
64,149.52060055732727,11,3.298
65,150.6709690093994,10,3.298
66,151.79692721366882,11,3.298
67,152.94593811035156,11,3.298
68,154.07091689109802,12,3.298
69,155.2079529762268,12,3.298
70,156.34593892097473,11,3.298
71,157.49493312835693,11,3.298
73,159.6343970298767,1,3.299
74,160.768901348114,11,3.299
75,161.90689539909363,11,3.299
76,163.04778599739075,12,3.299
77,164.19887590408325,11,3.299
78,165.33977460861206,11,3.299
79,166.4768226146698,11,3.299
80,167.600839138031,11,3.299
82,169.75357365608215,1,3.299
83,170.94790077209473,11,3.299
84,172.08784127235413,12,3.299
85,173.23884773254395,11,3.299
86,174.3788890838623,11,3.299
87,175.50283765792847,11,3.299
88,176.6618456840515,14,3.283
89,177.82579064369202,12,3.292
90,178.96578431129456,11,3.219
91,180.190767288208,21,3.238
92,181.41082668304443,12,3.34
93,182.62981414794922,11,3.401
94,183.85179734230042,17,3.435
95,185.06577253341675,20,3.279
96,186.20474815368652,12,3.299
97,187.40872526168823,12,4.251
98,188.5287094116211,11,4.057
99,189.66279864311218,11,4.258
100,190.86174058914185,11,3.914
101,191.9896469116211,12,3.306
102,193.1136622428894,11,3.298
103,194.32970547676086,12,3.298
104,195.46969366073608,11,3.298
105,196.60870623588562,1,3.298
106,197.74561619758606,11,3.298
107,198.8835735321045,11,3.298
108,200.03568482398987,11,3.298
109,201.1727135181427,12,3.298
110,202.29567694664001,11,3.299
112,204.42618036270142,12,3.298
113,205.54770398139954,11,3.298
114,206.69668626785278,11,3.298
115,207.83368349075317,11,3.299
116,208.974711894989,12,3.298
117,210.1116373538971,12,3.298
118,211.23366951942444,12,3.298
119,212.37259650230408,11,3.298
120,213.50767827033997,12,3.298
122,215.6481065750122,11,3.298
123,216.8576192855835,12,3.297
124,218.00963401794434,12,3.298
125,219.1746621131897,12,3.298
126,220.37661027908325,11,3.298
127,221.58362984657288,11,3.298
128,222.73963332176208,11,3.298
129,223.85956621170044,12,3.298
130,225.01157522201538,12,3.298
131,226.13644886016846,12,3.298
132,227.28659868240356,11,3.298
133,228.4105863571167,11,3.298
134,229.56052803993225,12,3.299
135,230.72760796546936,12,3.299
136,231.8785276412964,12,3.299
137,233.03042936325073,11,3.299
138,234.15639066696167,11,3.298
139,235.29544401168823,12,3.979
140,236.41637563705444,12,3.305
141,237.55141973495483,11,3.238
142,238.7714021205902,11,3.264
143,239.97738933563232,12,3.309
144,241.10047817230225,12,3.347
145,242.313481092453,11,3.294
146,243.4355230331421,12,3.363
147,244.5555121898651,11,3.414
148,245.68058967590332,74,3.564
149,246.80348014831543,105,4.079
150,247.93048334121704,27,3.76
151,249.06549167633057,11,5.946
152,250.29146575927734,11,3.302
153,251.50651001930237,11,3.3
154,252.67447328567505,11,3.282
155,253.88443231582642,12,3.299
156,255.08541989326477,109,3.307
157,256.30841064453125,11,3.406
158,257.5133056640625,11,3.312
159,258.64741039276123,11,3.615
160,259.86442279815674,12,3.619
161,261.08238673210144,11,3.416
162,262.286386013031,11,3.467
163,263.4125053882599,11,3.229
164,264.5493426322937,1,3.26
165,265.75837802886963,11,3.257
166,266.8784382343292,12,4.179
167,268.0043079853058,12,4.204
168,269.14342999458313,11,3.656
169,270.34736347198486,11,4.162
170,271.47441816329956,11,3.362
171,272.6094250679016,33,3.169
172,273.7303423881531,11,3.3
173,274.93430972099304,12,3.3
174,276.15933108329773,12,3.3
175,277.3103029727936,12,3.3
176,278.5343608856201,12,3.894
177,279.71536898612976,11,3.301
178,280.8523893356323,11,3.3
179,282.0132920742035,12,3.3
181,284.1928036212921,11,3.3
182,285.40328192710876,12,3.3
183,286.54931926727295,12,3.3
184,287.6882655620575,11,3.3
185,288.86927700042725,11,3.3
186,290.02527594566345,11,3.3
187,291.163293838501,12,3.3
188,292.2962872982025,12,3.3
189,293.43425273895264,12,3.3
190,294.57023882865906,11,3.3
191,295.7072808742523,11,3.3
192,296.85728192329407,11,3.3
193,297.9822611808777,11,3.3
194,299.11822867393494,12,3.3
195,300.2692677974701,11,3.3
196,301.39229559898376,12,3.3
197,302.545254945755,11,3.3
198,303.6792206764221,12,3.3
199,304.80020809173584,12,3.3
200,305.95123076438904,12,3.3
201,307.0713210105896,11,3.3
202,308.22321367263794,11,3.3
203,309.34517526626587,12,3.3
204,310.47619891166687,12,3.3
205,311.5902304649353,11,3.351
206,312.7891993522644,12,3.326
207,314.01819348335266,12,5.682
208,315.23419737815857,11,3.409
209,316.44022393226624,11,3.33
210,317.5731842517853,11,3.331
211,318.768164396286,11,3.29
212,319.97817373275757,11,3.289
213,321.11716175079346,12,3.207
214,322.33816480636597,11,3.402
215,323.5450975894928,11,3.403
216,324.7230682373047,11,3.403
217,325.85998153686523,12,3.403
218,327.0120515823364,11,3.403
219,328.1490821838379,12,3.403
220,329.27508759498596,11,3.403
221,330.4111273288727,11,3.403
222,331.5500285625458,12,3.403
223,332.68707823753357,12,3.403
224,333.82514357566833,11,3.403
225,334.9620769023895,11,3.403
226,336.1118850708008,12,3.404
227,337.25592279434204,11,3.404
228,338.39397168159485,11,3.404
229,339.5280394554138,11,3.403
230,340.66607689857483,12,3.403
231,341.80302143096924,11,3.403
232,342.95706272125244,11,3.403
233,344.0780701637268,13,3.403
234,345.2170162200928,1,3.403
235,346.36805844306946,12,3.403
236,347.4930534362793,12,3.403
237,348.630024433136,12,3.403
238,349.7839877605438,11,4.836
239,350.9460217952728,11,4.652
240,352.1490206718445,12,4.804
241,353.2750611305237,11,4.23
242,354.3969666957855,11,3.457
243,355.5410318374634,1,3.401
244,356.71397495269775,12,3.401
245,357.8859474658966,12,3.401
246,359.03801703453064,11,3.401
247,360.17700958251953,12,3.402
248,361.29985332489014,11,3.402
249,362.5059242248535,11,3.403
250,363.63898062705994,11,3.399
251,364.78999614715576,12,3.4
253,366.96232295036316,2,3.4
254,368.10396575927734,10,3.4
255,369.23981261253357,12,3.4
256,370.364883184433,11,3.4
257,371.50395917892456,11,3.4
258,372.642924785614,11,3.4
261,375.7808201313019,2,3.434
262,376.90192580223083,11,3.57
263,378.02787017822266,11,3.484
264,379.1608772277832,12,3.538
265,380.2998857498169,14,3.612
266,381.51389336586,18,3.663
267,382.6548490524292,20,3.721
268,383.88183093070984,27,3.779
269,385.0908303260803,38,3.829
270,386.2208573818207,41,3.884
271,387.36185908317566,48,3.936
272,388.4808392524719,57,3.988
273,389.6047308444977,64,4.037
274,390.7358410358429,72,4.088
275,391.8777298927307,78,4.145
276,393.0876975059509,87,4.197
277,394.2297751903534,96,4.253
278,395.43380880355835,102,4.305
279,396.56182742118835,109,4.357
280,397.7018315792084,109,4.106
281,398.907781124115,127,4.75
282,400.1347403526306,1,4.176
283,401.34380650520325,126,4.478
284,402.55379939079285,126,4.479
285,403.7327525615692,128,4.479
286,404.914785861969,128,4.479
287,406.08559679985046,127,4.485
288,407.21667218208313,125,4.47
289,408.43777084350586,121,4.44
290,409.6637921333313,116,4.409
291,410.86073756217957,3,4.386
292,412.073689699173,109,4.358
293,413.2007474899292,105,4.333
294,414.3296217918396,101,4.308
295,415.449693441391,97,4.282
297,417.57611870765686,92,4.232
298,418.7616937160492,86,4.206
299,419.8916802406311,84,4.179
300,421.03472089767456,80,4.151
301,422.2386906147003,76,4.125
302,423.37777757644653,74,4.098
303,424.5987288951874,69,4.073
304,425.7136917114258,65,4.05
305,426.83964228630066,62,4.026
306,427.9796631336212,58,4.003
307,429.19656920433044,56,3.976
308,430.4056570529938,52,3.954
309,431.5376696586609,49,3.929
310,432.6796534061432,46,3.903
311,433.90865874290466,42,3.878
312,435.1126344203949,8,3.856
